energy_uj,cpu,commit_hash,repo,branch,workflow,run_id,label,source,cpu_util_avg,duration_us,workflow_name,filter_type,filter_project,filter_machine,filter_tags,lat,lon,city,ip,carbon_intensity_g,carbon_ug,start_time,min_carbon_intensity_g,min_carbon_intensity_time
123528000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804495,13452508198,Run gitlint,github,29.9639,29082909,Linting,machine.ci,CI/CD,ubuntu-latest,[],33.4532,-112.0748,Phoenix,20.172.29.34,260.0,40414,2025-02-21 08:00:59+00:00,147.0,13.0
153857000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804495,13452508198,Run gitlint,github,23.1319,37762646,Linting,machine.ci,CI/CD,ubuntu-latest,[],37.3388,-121.8916,San Jose,52.234.38.232,277.0,53391,2025-02-21 08:00:58+00:00,68.0,10.0
123537000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13452509428,build docs,github,25.9333,31297149,Testing,machine.ci,CI/CD,ubuntu-latest,[],41.8835,-87.6305,Chicago,20.25.193.43,490.0,69463,2025-02-21 08:01:10+00:00,463.0,10.0
186567000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804495,13452508198,Run gitlint,github,25.6098,45194352,Linting,machine.ci,CI/CD,ubuntu-latest,[],37.3388,-121.8916,San Jose,52.190.141.176,277.0,64572,2025-02-21 08:00:58+00:00,68.0,10.0
95734600,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13450646027,build docs,github,27.05,23995912,Testing,machine.ci,CI/CD,ubuntu-latest,[],41.8835,-87.6305,Chicago,20.102.199.87,490.0,53757,2025-02-21 08:02:00+00:00,463.0,10.0
483769000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13452509428,Linux may fail measurement,github,38.5209,104012235,Testing,machine.ci,CI/CD,ubuntu-latest,[],41.8835,-87.6305,Chicago,20.88.39.186,490.0,266722,2025-02-21 08:01:11+00:00,463.0,10.0
475153000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13450646027,Linux may fail measurement,github,37.6639,103681419,Testing,machine.ci,CI/CD,ubuntu-latest,[],41.8835,-87.6305,Chicago,172.214.175.240,490.0,262406,2025-02-21 08:02:00+00:00,463.0,10.0
1223880000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13452509428,Synchronous tests measurement,github,47.4131,238086312,Testing,machine.ci,CI/CD,ubuntu-latest,[],38.7095,-78.1539,Washington,20.42.51.108,490.0,667631,2025-02-21 08:01:10+00:00,463.0,10.0
1379870000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13452509428,Synchronous tests measurement,github,52.4237,256058463,Testing,machine.ci,CI/CD,ubuntu-latest,[],41.8835,-87.6305,Chicago,20.102.199.128,490.0,749193,2025-02-21 08:01:10+00:00,463.0,10.0
1500780000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13452509428,Synchronous tests measurement,github,50.1961,282551103,Testing,machine.ci,CI/CD,ubuntu-latest,[],37.3388,-121.8916,San Jose,52.160.165.139,277.0,496331,2025-02-21 08:01:12+00:00,68.0,10.0
